Trade #,Direction,Entry Price,Entry Time,Exit Price,Exit Time,PnL,Balance4
61,LONG,92972.57,2025-12-10 19:10:00,93337.61,2025-12-10 20:50:00,33.24,9463.67
62,SHORT,93337.61,2025-12-10 20:50:00,92588.87,2025-12-10 22:55:00,72.13,9532.01
63,LONG,92581.71,2025-12-10 18:35:00,92186.72,2025-12-10 19:00:00,-44.45,9483.75
64,SHORT,92186.72,2025-12-10 19:00:00,92958.27,2025-12-10 19:10:00,-83.16,9396.80
65,LONG,92958.27,2025-12-10 19:10:00,93316.16,2025-12-10 20:50:00,32.39,9425.44
66,SHORT,93316.16,2025-12-10 20:50:00,92581.71,2025-12-10 22:55:00,70.41,9492.08
67,LONG,92584.43,2025-12-10 18:35:00,92186.72,2025-12-10 19:00:00,-44.54,9443.74
68,SHORT,92186.72,2025-12-10 19:00:00,92963.70,2025-12-10 19:10:00,-83.36,9356.60
69,LONG,92963.70,2025-12-10 19:10:00,93324.31,2025-12-10 20:50:00,32.53,9385.39
70,SHORT,93324.31,2025-12-10 20:50:00,92584.43,2025-12-10 22:55:00,70.65,9452.28
71,LONG,92561.08,2025-12-10 18:30:00,92186.72,2025-12-10 19:00:00,-41.98,9406.52
72,SHORT,92186.72,2025-12-10 19:00:00,92917.00,2025-12-10 19:10:00,-78.27,9324.49
73,LONG,92917.00,2025-12-10 19:10:00,93254.26,2025-12-10 20:50:00,30.09,9350.86
74,SHORT,93254.26,2025-12-10 20:50:00,92561.08,2025-12-10 22:45:00,65.76,9412.88
75,LONG,92513.26,2025-12-10 18:30:00,92186.72,2025-12-10 19:00:00,-36.97,9372.15
76,SHORT,92186.72,2025-12-10 19:00:00,92821.36,2025-12-10 19:10:00,-68.26,9300.14
77,LONG,92821.36,2025-12-10 19:10:00,93418.88,2025-12-10 20:50:00,56.11,9352.53
78,SHORT,93418.88,2025-12-10 20:50:00,92513.26,2025-12-10 22:45:00,86.92,9435.71
79,LONG,92506.49,2025-12-10 18:30:00,92186.72,2025-12-10 19:00:00,-36.37,9395.57
80,SHORT,92186.72,2025-12-10 19:00:00,92807.82,2025-12-10 19:10:00,-67.05,9324.76
81,LONG,92807.82,2025-12-10 19:10:00,93391.79,2025-12-10 20:50:00,54.90,9375.94
82,SHORT,93391.79,2025-12-10 20:50:00,92205.16,2025-12-10 23:30:00,115.37,9487.56
83,LONG,92472.86,2025-12-10 16:15:00,92454.37,2025-12-10 18:50:00,-5.69,9478.08
84,SHORT,92454.37,2025-12-10 18:50:00,92740.56,2025-12-10 19:10:00,-33.13,9441.16
85,LONG,92740.56,2025-12-10 19:10:00,93524.96,2025-12-10 20:20:00,76.02,9513.41
86,SHORT,93524.96,2025-12-10 20:20:00,92205.16,2025-12-10 23:30:00,130.43,9640.04
87,LONG,92466.33,2025-12-10 16:15:00,92447.84,2025-12-10 19:00:00,-5.78,9630.40
88,SHORT,92447.84,2025-12-10 19:00:00,92727.49,2025-12-10 19:10:00,-32.98,9593.57
89,LONG,92727.49,2025-12-10 19:10:00,93492.30,2025-12-10 20:20:00,75.23,9664.97
90,SHORT,93492.30,2025-12-10 20:20:00,92205.16,2025-12-10 23:30:00,129.18,9790.29
