symbol,interval,start,end,method,param,final_balance,return_pct,max_drawdown,win_rate,total_trades,profit_factor,sharpe
BTCUSDT,1m,20240101,20241231,atr,"(14, 1.5)",0.07172891987819306,-0.9999928271080122,0.9999994651656509,0.4159418408412307,77030,1.9907903428808191,
BTCUSDT,1mto5m,20240101,20241231,atr,"(14, 1.5)",2893394.958155173,288.3394958155173,0.10945513178474768,0.45249572383766135,6431,2.0864997753029173,
BTCUSDT,1m,20240101,20241231,atr,"(14, 2.0)",2.4470082087324965,-0.9997552991791269,0.9999789737517452,0.41122345803842264,59340,1.828854357391893,
BTCUSDT,1mto5m,20240101,20241231,atr,"(14, 2.0)",761314.1740334353,75.13141740334353,0.12927762071876261,0.4286368843069874,4365,1.8612520610888017,
BTCUSDT,1m,20240101,20241231,atr,"(14, 2.5)",24.625320575539174,-0.9975374679424461,0.9997587218434947,0.413793834541831,47166,1.7133757453423812,
BTCUSDT,1mto5m,20240101,20241231,atr,"(14, 2.5)",398091.93179593503,38.8091931795935,0.07608915398896482,0.41396988144825375,3121,1.8162941867254614,
BTCUSDT,1m,20240101,20241231,fixed,50,319.8015837863982,-0.9680198416213601,0.9968663368406373,0.39017920135459294,35435,1.6105859158150373,
BTCUSDT,1mto5m,20240101,20241231,fixed,50,1465817779.7249334,146580.77797249335,0.1354053431233668,0.48774795799299886,17140,3.317885884217087,
BTCUSDT,1m,20240101,20241231,fixed,100,5158.050568923672,-0.48419494310763284,0.8571671607256314,0.4070494599204093,14072,1.33922989198936,
BTCUSDT,1mto5m,20240101,20241231,fixed,100,8310902.150186255,830.0902150186255,0.09095350492766772,0.47909929332854234,8349,2.2846626954061766,
BTCUSDT,1m,20240101,20241231,fixed,150,12181.072874715339,0.21810728747153388,0.705103929388807,0.3804767612198695,7509,1.2721844130908222,
BTCUSDT,1mto5m,20240101,20241231,fixed,150,1045444.1424896246,103.54441424896245,0.08999025012289688,0.4363154676992052,4907,1.8874265519874447,
BTCUSDT,1m,20240101,20241231,fixed,200,11265.720080805197,0.12657200808051966,0.5347693142671838,0.3586979496935109,4731,1.2132716205079876,
