interval,reversal_count,method,param,param_label,final_balance,total_return,total_return_pct,max_drawdown_pct,total_trades,win_rate,profit_factor,avg_win,avg_loss,avg_daily_trades,in_trade_freq_range,trade_freq_score,days_total,days_profit,days_loss,days_over_200,avg_daily_pnl,max_daily_loss,profit_target_hit,daily_loss_ok,withdrawal_days_ok,profimr_eval_pass,profimr_withdrawal_pass,composite_score
5m,2,fixed,100,fixed100,76000.0,26000.0,52.0,48.0,7,42.86,1.542,24666.67,-12000.0,0.9,False,0.135,8,3,4,3,3250.0,-12000.0,True,False,False,False,False,23.62
1h,3,atr,"(14, 2.0)",atr14x2.0,75902.72,25902.72,51.81,58.22,7,42.86,1.514,25423.04,-12591.6,0.9,False,0.135,8,3,4,3,3237.84,-14390.4,True,False,False,False,False,23.47
5m,3,fixed,50,fixed50,86000.0,36000.0,72.0,34.51,13,30.77,1.706,21750.0,-5666.67,0.9,False,0.143,14,4,8,4,2571.43,-9000.0,True,False,False,False,False,23.42
5m,3,percentage,0.003,pct0.003,70126.63,20126.63,40.25,56.64,9,33.33,1.333,26835.5,-10063.31,0.9,False,0.138,10,3,6,3,2012.66,-12075.98,True,False,False,False,False,19.03
1h,3,fixed,100,fixed100,61000.0,11000.0,22.0,79.41,11,36.36,1.262,13250.0,-6000.0,0.9,False,0.141,12,4,3,4,916.67,-18000.0,True,False,False,False,False,17.6
1h,3,fixed,75,fixed75,55850.0,5850.0,11.7,82.99,23,43.48,1.045,13680.0,-10073.08,1.0,False,0.154,23,9,13,9,254.35,-13500.0,True,False,True,False,True,17.26
5m,3,fixed,75,fixed75,52700.0,2700.0,5.4,54.38,7,42.86,1.046,20400.0,-14625.0,0.9,False,0.135,8,3,4,3,337.5,-18000.0,False,False,False,False,False,16.49
5m,3,percentage,0.0025,pct0.0025,63417.75,13417.75,26.84,44.97,13,30.77,1.2,20126.63,-7454.31,0.9,False,0.143,14,4,9,4,958.41,-10063.31,True,False,False,False,False,16.38
1h,2,atr,"(14, 2.0)",atr14x2.0,55036.64,5036.64,10.07,82.57,16,37.5,1.059,15069.95,-8538.3,0.9,False,0.145,17,6,7,6,296.27,-14390.4,True,False,True,False,True,15.68
15m,3,fixed,75,fixed75,29750.0,-20250.0,-40.5,74.7,8,25.0,0.516,10800.0,-6975.0,1.0,False,0.154,8,2,4,2,-2531.25,-13500.0,False,False,False,False,False,4.78
1h,3,atr,"(14, 1.5)",atr14x1.5,4310.48,-45689.52,-91.38,98.08,17,35.29,0.469,6715.52,-7816.6,0.9,False,0.145,18,6,9,6,-2538.31,-16189.2,False,False,True,False,True,2.03
15m,2,fixed,100,fixed100,21200.0,-28800.0,-57.6,80.8,9,22.22,0.368,8400.0,-6514.29,1.0,False,0.154,9,2,5,2,-3200.0,-12000.0,False,False,False,False,False,1.64
