interval,reversal_count,method,param,param_label,final_balance,total_return,total_return_pct,max_drawdown_pct,total_trades,win_rate,profit_factor,avg_win,avg_loss,avg_daily_trades,in_trade_freq_range,trade_freq_score,days_total,days_profit,days_loss,days_over_200,avg_daily_pnl,max_daily_loss,profit_target_hit,daily_loss_ok,withdrawal_days_ok,profimr_eval_pass,profimr_withdrawal_pass,composite_score
15m,2,atr,"(7, 1.5)",atr7x1.5,254444.13,204444.13,408.89,8.45,41,65.85,16.364,8064.86,-950.5,1.0,False,0.15,42,27,8,27,4867.72,-2419.46,True,False,True,False,True,60.0
5m,1,fixed,40,fixed40,213200.0,163200.0,326.4,6.84,32,62.5,8.556,9240.0,-1800.0,1.0,False,0.154,32,20,6,20,5100.0,-4800.0,True,False,True,False,True,60.0
5m,1,percentage,0.0025,pct0.0025,214367.46,164367.46,328.73,10.38,20,70.0,25.5,12219.74,-1118.15,1.0,False,0.154,20,14,1,14,8218.37,-3354.44,True,False,True,False,True,60.0
5m,1,fixed,50,fixed50,221000.0,171000.0,342.0,6.32,20,75.0,29.5,11800.0,-1200.0,1.0,False,0.154,20,15,1,15,8550.0,-3000.0,True,False,True,False,True,60.0
5m,3,atr,"(14, 1.0)",atr14x1.0,307177.57,257177.57,514.36,4.27,85,62.35,10.561,5359.95,-840.62,1.3,False,0.204,64,45,15,45,4018.4,-2037.86,True,False,True,False,True,60.0
15m,1,atr,"(14, 1.5)",atr14x1.5,348062.0,298062.0,596.12,5.49,87,68.97,18.059,5258.91,-647.13,1.5,False,0.227,59,46,2,46,5051.9,-2055.6,True,False,True,False,True,60.0
5m,3,atr,"(7, 1.0)",atr7x1.0,277569.29,227569.29,455.14,6.43,57,61.4,10.444,7190.42,-1095.25,1.4,False,0.209,42,30,8,30,5418.32,-3212.74,True,False,True,False,True,60.0
5m,2,fixed,25,fixed25,222500.0,172500.0,345.0,5.94,26,65.38,10.583,11205.88,-2000.0,1.0,False,0.148,27,17,5,17,6388.89,-3000.0,True,False,True,False,True,60.0
5m,2,percentage,0.001,pct0.001,228456.1,178456.1,356.91,5.18,30,60.0,10.5,10957.83,-1565.4,1.0,False,0.149,31,18,6,18,5756.65,-5367.1,True,False,True,False,True,60.0
5m,3,fixed,15,fixed15,228200.0,178200.0,356.4,4.82,33,60.61,8.333,10125.0,-1869.23,1.0,False,0.159,32,20,8,20,5568.75,-4500.0,True,False,True,False,True,60.0
5m,2,fixed,30,fixed30,204800.0,154800.0,309.6,6.81,22,68.18,8.818,11640.0,-2828.57,1.0,False,0.147,23,15,7,15,6730.43,-3600.0,True,False,True,False,True,60.0
5m,3,fixed,25,fixed25,207500.0,157500.0,315.0,7.26,15,80.0,36.0,13500.0,-1500.0,0.9,False,0.144,16,11,2,11,9843.75,-1500.0,True,True,True,True,True,60.0
15m,1,atr,"(14, 2.0)",atr14x2.0,287079.2,237079.2,474.16,4.21,74,60.81,9.65,5877.49,-945.1,1.3,False,0.2,57,40,9,40,4159.28,-1370.4,True,True,True,True,True,60.0
5m,2,atr,"(14, 1.5)",atr14x1.5,310438.14,260438.14,520.88,4.31,76,64.47,14.312,5714.32,-724.57,1.3,False,0.205,57,41,11,41,4569.09,-1222.71,True,True,True,True,True,60.0
1h,1,atr,"(14, 0.5)",atr14x0.5,706562.0,656562.0,1313.12,6.1,132,62.88,15.6,8452.19,-917.76,1.3,False,0.195,104,71,15,71,6313.1,-3597.6,True,False,True,False,True,60.0
15m,2,fixed,15,fixed15,283100.0,233100.0,466.2,6.89,66,63.64,10.593,6128.57,-1012.5,1.2,False,0.185,55,39,10,39,4238.18,-2700.0,True,False,True,False,True,60.0
